Timestamp,Nombre,Datos
"1685110127","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""45.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110127","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2611 lumenes""}]"
"1685110127","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""654.04cm""}]"
"1685110134","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110134","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2057 lumenes""}]"
"1685110134","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""254.59cm""}]"
"1685110144","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110144","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""1998 lumenes""}]"
"1685110144","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""2597.53cm""}]"
"1685110151","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110151","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2000 lumenes""}]"
"1685110151","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""2584.17cm""}]"
"1685110158","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.30°C""}]"
"1685110158","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2477 lumenes""}]"
"1685110158","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""1447.89cm""}]"
"1685110166","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110166","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2351 lumenes""}]"
"1685110166","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""21.11cm""}]"
"1685110173","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.30°C""}]"
"1685110173","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2643 lumenes""}]"
"1685110173","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""23.58cm""}]"
"1685110180","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.10°C""}]"
"1685110180","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2198 lumenes""}]"
"1685110180","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""24.04cm""}]"
"1685110187","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110187","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2593 lumenes""}]"
"1685110187","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""28.29cm""}]"
"1685110195","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110195","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2544 lumenes""}]"
"1685110195","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""2218.96cm""}]"
"1685110202","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.10°C""}]"
"1685110202","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2245 lumenes""}]"
"1685110202","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""128.08cm""}]"
"1685110210","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110210","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2352 lumenes""}]"
"1685110210","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""129.29cm""}]"
"1685110217","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.10°C""}]"
"1685110217","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2246 lumenes""}]"
"1685110217","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""25.21cm""}]"
"1685110224","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.10°C""}]"
"1685110224","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2542 lumenes""}]"
"1685110224","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""27.62cm""}]"
"1685110232","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110232","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2591 lumenes""}]"
"1685110232","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""128.42cm""}]"
"1685110251","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""45.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110251","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2679 lumenes""}]"
"1685110251","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""18.73cm""}]"
"1685110258","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""27.90°C""}]"
"1685110258","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2026 lumenes""}]"
"1685110258","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""18.29cm""}]"
"1685110265","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""45.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110265","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2662 lumenes""}]"
"1685110265","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""18.29cm""}]"
"1685110273","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""45.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110273","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2608 lumenes""}]"
"1685110273","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""18.73cm""}]"
"1685110282","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""45.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110282","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2513 lumenes""}]"
"1685110282","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""18.73cm""}]"
"1685110289","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""45.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110289","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2671 lumenes""}]"
"1685110289","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""18.73cm""}]"
"1685110296","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""45.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110296","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2670 lumenes""}]"
"1685110296","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""17.88cm""}]"
"1685110304","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""45.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.10°C""}]"
"1685110304","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2471 lumenes""}]"
"1685110304","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""17.88cm""}]"
"1685110311","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110311","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2358 lumenes""}]"
"1685110311","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""17.87cm""}]"
"1685110318","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110318","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2725 lumenes""}]"
"1685110318","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""17.88cm""}]"
"1685110325","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.10°C""}]"
"1685110325","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2150 lumenes""}]"
"1685110325","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""130.13cm""}]"
"1685110333","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110333","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2064 lumenes""}]"
"1685110333","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""129.74cm""}]"
"1685110340","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110340","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2128 lumenes""}]"
"1685110340","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""129.29cm""}]"
"1685110347","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110347","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2437 lumenes""}]"
"1685110347","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""129.73cm""}]"
"1685110354","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110354","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2289 lumenes""}]"
"1685110354","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""130.99cm""}]"
"1685110365","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110365","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2715 lumenes""}]"
"1685110365","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""54.93cm""}]"
"1685110372","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110372","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2396 lumenes""}]"
"1685110372","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""130.13cm""}]"
"1685110379","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.10°C""}]"
"1685110379","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2483 lumenes""}]"
"1685110379","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""128.95cm""}]"
"1685110386","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110386","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2218 lumenes""}]"
"1685110386","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""131.53cm""}]"
"1685110394","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110394","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2690 lumenes""}]"
"1685110394","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""25.14cm""}]"
"1685110401","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110401","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2775 lumenes""}]"
"1685110401","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""130.22cm""}]"
"1685110408","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.10°C""}]"
"1685110408","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2117 lumenes""}]"
"1685110408","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""128.98cm""}]"
"1685110417","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.10°C""}]"
"1685110417","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2407 lumenes""}]"
"1685110417","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""128.98cm""}]"
"1685110424","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.10°C""}]"
"1685110424","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2166 lumenes""}]"
"1685110424","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""128.96cm""}]"
"1685110432","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.20°C""}]"
"1685110432","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2456 lumenes""}]"
"1685110432","Sensor de ultrasonido","[{""tipoDeDato"":""Distancia"",""resultado"":""129.76cm""}]"
"1685110440","Sensor de Humedad","[{""tipoDeDato"":""Humedad"",""resultado"":""44.00%""},{""tipoDeDato"":""Temperatura"",""resultado"":""28.10°C""}]"
"1685110440","Sensor de luz","[{""tipoDeDato"":""Luminosidad"",""resultado"":""2651 lumenes""}]"
